"id","title","image","schoolId","scholarship","scholarshipInformation","duration","price","currency","acceptanceFee","acceptanceFeeCurrency","objectives","courseWebsiteUrl","programLevel","loanInformation","ratings","createdAt"
"feiJ7qDV2f","B.Sc Software Engineering","https://images.pexels.com/photos/12899156/pexels-photo-12899156.jpeg?auto=compress&cs=tinysrgb&w=1600&h=900&fit=crop","jSD_N5zg3I","No Scholarship","No current information available on scholarship opportunities for this course.","5 years",1100000,"NGN",100000,"NGN","This programme provides a thorough foundation in Software Engineering, combining classroom instruction with practical exposure to prepare students for the demands of the field. Coursework spans programming languages, systems analysis, databases, and the practical tools used in modern technology environments. Graduates develop strong problem-solving and technical skills that are in high demand across industries. On completion, graduates are well positioned for entry-level careers in software development, IT consulting, systems administration, and technology-driven organisations, or to pursue further postgraduate study.","https://www.babcock.edu.ng/program/bsc-software-engineering","Undergraduate","No loan currently available",0,"2026-07-12T20:25:00.077Z"
"t6ixjrHvon","B.A History and international studies","https://images.pexels.com/photos/5940864/pexels-photo-5940864.jpeg?auto=compress&cs=tinysrgb&w=1600&h=900&fit=crop","jSD_N5zg3I","No Scholarship","No current information available on scholarship opportunities for this course.","4 years",825000,"NGN",100000,"NGN","The History and international studies degree programme offers students a comprehensive introduction to the key concepts, methods, and real-world applications that shape the discipline. Students engage with research methods, social theory, and the institutions and structures that shape human behaviour and society. The programme builds critical thinking and communication skills useful in research, policy, and community-facing roles. Graduates leave equipped for careers in public service, research, policy analysis, NGOs, and the corporate sector, with a solid foundation for further academic or professional advancement. Emphasis is placed on building competence that meets the expectations of employers and professional bodies in the field.","https://www.babcock.edu.ng/program/ba-history-and-international-studies","Undergraduate","No loan currently available",0,"2026-07-12T20:25:00.889Z"
"bCSbYbC02H","B.A English Studies","https://images.pexels.com/photos/6929210/pexels-photo-6929210.jpeg?auto=compress&cs=tinysrgb&w=1600&h=900&fit=crop","jSD_N5zg3I","No Scholarship","No current information available on scholarship opportunities for this course.","4 years",750000,"NGN",100000,"NGN","The English Studies degree programme offers students a comprehensive introduction to the key concepts, methods, and real-world applications that shape the discipline. Coursework combines close analysis, critical writing, and creative practice to build a deep appreciation of the subject. The programme builds analytical writing and interpretive skills that transfer well beyond the discipline itself. On completion, graduates are well positioned for entry-level careers in publishing, media, education, the arts, and the public sector, or to pursue further postgraduate study. Throughout the programme, students benefit from a mix of structured coursework, practical exposure, and guided mentorship.","https://www.babcock.edu.ng/program/ba-english-studies","Undergraduate","No loan currently available",0,"2026-07-12T20:25:01.327Z"
"1NQQjXM3cE","B.A French and International Relations","https://images.pexels.com/photos/29303947/pexels-photo-29303947.jpeg?auto=compress&cs=tinysrgb&w=1600&h=900&fit=crop","jSD_N5zg3I","No Scholarship","No current information available on scholarship opportunities for this course.","4 years",825000,"NGN",100000,"NGN","This programme provides a thorough foundation in French and International Relations, combining classroom instruction with practical exposure to prepare students for the demands of the field. Students engage with research methods, social theory, and the institutions and structures that shape human behaviour and society. The programme builds critical thinking and communication skills useful in research, policy, and community-facing roles. Graduates leave equipped for careers in public service, research, policy analysis, NGOs, and the corporate sector, with a solid foundation for further academic or professional advancement. The programme places strong emphasis on both theoretical depth and practical relevance to real-world contexts in Nigeria and beyond.","https://www.babcock.edu.ng/program/ba-french-and-foreign-studies","Undergraduate","No loan currently available",0,"2026-07-12T20:25:01.728Z"
"FnOXcRglTZ","B.A Christian Religious Studies","https://images.pexels.com/photos/372326/pexels-photo-372326.jpeg?auto=compress&cs=tinysrgb&w=1600&h=900&fit=crop","jSD_N5zg3I","No Scholarship","No current information available on scholarship opportunities for this course.","4 years",750000,"NGN",100000,"NGN","This programme provides a thorough foundation in Christian Religious Studies, combining classroom instruction with practical exposure to prepare students for the demands of the field. The curriculum encourages critical engagement with texts, ideas, and creative works that have shaped human thought and culture. Graduates develop strong critical thinking, research, and communication skills valued in many careers. On completion, graduates are well positioned for entry-level careers in publishing, media, education, the arts, and the public sector, or to pursue further postgraduate study. Throughout the programme, students benefit from a mix of structured coursework, practical exposure, and guided mentorship.","https://www.babcock.edu.ng/program/ba-christian-religious-studies","Undergraduate","No loan currently available",0,"2026-07-12T20:25:02.122Z"
"zW_GVNN5Fa","B.A Music","https://images.pexels.com/photos/5933199/pexels-photo-5933199.jpeg?auto=compress&cs=tinysrgb&w=1600&h=900&fit=crop","jSD_N5zg3I","No Scholarship","No current information available on scholarship opportunities for this course.","4 years",750000,"NGN",100000,"NGN","The Music degree programme offers students a comprehensive introduction to the key concepts, methods, and real-world applications that shape the discipline. The curriculum encourages critical engagement with texts, ideas, and creative works that have shaped human thought and culture. The programme builds analytical writing and interpretive skills that transfer well beyond the discipline itself. On completion, graduates are well positioned for entry-level careers in publishing, media, education, the arts, and the public sector, or to pursue further postgraduate study. The programme places strong emphasis on both theoretical depth and practical relevance to real-world contexts in Nigeria and beyond.","https://www.babcock.edu.ng/program/ba-music","Undergraduate","No loan currently available",0,"2026-07-12T20:25:02.528Z"
"HfhOXh0tzn","Sacred Theology","https://images.pexels.com/photos/372326/pexels-photo-372326.jpeg?auto=compress&cs=tinysrgb&w=1600&h=900&fit=crop","gv-vrU_c1r","No Scholarship","No current information available on scholarship opportunities for this course.","4 years",750000,"NGN",100000,"NGN","Designed for undergraduate students, this Sacred Theology programme builds a strong theoretical and practical base across the core areas of the discipline. Students explore core texts, historical context, and critical approaches central to the discipline. The programme builds analytical writing and interpretive skills that transfer well beyond the discipline itself. On completion, graduates are well positioned for entry-level careers in publishing, media, education, the arts, and the public sector, or to pursue further postgraduate study.","https://www.veritas.edu.ng/undergraduate/21","Undergraduate","No loan currently available",0,"2026-07-12T20:39:26.563Z"
"CgNznnz6cm","B.A English Language Education","https://images.pexels.com/photos/9159087/pexels-photo-9159087.jpeg?auto=compress&cs=tinysrgb&w=1600&h=900&fit=crop","jSD_N5zg3I","No Scholarship","No current information available on scholarship opportunities for this course.","4 years",845000,"NGN",100000,"NGN","Designed for undergraduate students, this English Language Education programme builds a strong theoretical and practical base across the core areas of the discipline. Coursework covers learning theory, assessment, and practical classroom skills needed for effective teaching. Graduates develop the pedagogical skill and classroom confidence needed for effective teaching. Graduates leave equipped for careers in classroom teaching, curriculum development, and educational administration, with a solid foundation for further academic or professional advancement. Emphasis is placed on building competence that meets the expectations of employers and professional bodies in the field.","https://www.babcock.edu.ng/program/ba-english-language-education","Undergraduate","No loan currently available",0,"2026-07-12T20:25:02.893Z"
"5gRKNcN6Kq","B.Sc Business Education","https://images.pexels.com/photos/8197551/pexels-photo-8197551.jpeg?auto=compress&cs=tinysrgb&w=1600&h=900&fit=crop","jSD_N5zg3I","No Scholarship","No current information available on scholarship opportunities for this course.","4 years",845000,"NGN",100000,"NGN","This programme provides a thorough foundation in Business Education, combining classroom instruction with practical exposure to prepare students for the demands of the field. Students engage with teaching methods, educational psychology, and curriculum design alongside supervised teaching practice. The programme builds practical teaching competence alongside a strong understanding of how learners develop. Graduates leave equipped for careers in classroom teaching, curriculum development, and educational administration, with a solid foundation for further academic or professional advancement. Emphasis is placed on building competence that meets the expectations of employers and professional bodies in the field.","https://www.babcock.edu.ng/program/bsc-business-education","Undergraduate","No loan currently available",0,"2026-07-12T20:25:03.252Z"
"2GsV2JIZdy","B.Ed Educational Planning & Administration","https://images.pexels.com/photos/5212703/pexels-photo-5212703.jpeg?auto=compress&cs=tinysrgb&w=1600&h=900&fit=crop","jSD_N5zg3I","No Scholarship","No current information available on scholarship opportunities for this course.","4 years",845000,"NGN",100000,"NGN","This undergraduate programme in Educational Planning & Administration is designed to give students a solid grounding in the core theories, principles, and practical skills that define the field. Coursework covers learning theory, assessment, and practical classroom skills needed for effective teaching. The programme builds practical teaching competence alongside a strong understanding of how learners develop. On completion, graduates are well positioned for entry-level careers in classroom teaching, curriculum development, and educational administration, or to pursue further postgraduate study. Throughout the programme, students benefit from a mix of structured coursework, practical exposure, and guided mentorship.","https://www.babcock.edu.ng/program/bed-educational-planning-administration","Undergraduate","No loan currently available",0,"2026-07-12T20:25:03.610Z"
