"id","name","schoolType","country","region","websiteUrl","logo","createdAt"
"hByDSGLL6K","Abubakar Tafawa Balewa University","PUBLIC_UNIVERSITY","Nigeria","Bauchi","https://www.atbu.edu.ng",,"2026-07-09T08:36:57.740Z"
"-LYqc3dYX2","Bayero University","PUBLIC_UNIVERSITY","Nigeria","Kano","https://www.buk.edu.ng",,"2026-07-09T08:36:57.751Z"
"C8hxtP3KU5","Ahmadu Bello University","PUBLIC_UNIVERSITY","Nigeria","Zaria","https://www.abu.edu.ng",,"2026-07-09T08:36:57.757Z"
"LtvVBpYIp6","Federal University Gashua","PUBLIC_UNIVERSITY","Nigeria","Yobe","https://www.fugashua.edu.ng",,"2026-07-09T08:36:57.762Z"
"o7Lx57LodJ","Federal University, Dutsin-Ma","PUBLIC_UNIVERSITY","Nigeria","Katsina","https://www.fudutsinma.edu.ng",,"2026-07-09T08:36:57.767Z"
"QmdFtsv3mA","Federal University of Technology, Akure","PUBLIC_UNIVERSITY","Nigeria","Ondo","https://www.futa.edu.ng",,"2026-07-09T08:36:57.772Z"
"XuxNI-XYgu","Federal University, Kashere","PUBLIC_UNIVERSITY","Nigeria","Gombe","https://www.fukashere.edu.ng",,"2026-07-09T08:36:57.777Z"
"xCp-aqjcd6","Federal University of Technology, Minna","PUBLIC_UNIVERSITY","Nigeria","Niger","https://www.futminna.edu.ng",,"2026-07-09T08:36:57.785Z"
"4lhKz0gGMu","Federal University of Petroleum Resources","PUBLIC_UNIVERSITY","Nigeria","Delta","https://www.fupre.edu.ng",,"2026-07-09T08:36:57.790Z"
"hcT7NKsMqy","Federal University, Lafia","PUBLIC_UNIVERSITY","Nigeria","Nasarawa","https://www.fulafia.edu.ng",,"2026-07-09T08:36:57.796Z"
"014UtyR7mM","Federal University of Technology, Owerri","PUBLIC_UNIVERSITY","Nigeria","Imo","https://www.futo.edu.ng",,"2026-07-09T08:36:57.801Z"
"LFzIzFrjsa","Federal University, Lokoja","PUBLIC_UNIVERSITY","Nigeria","Kogi","https://www.fulokoja.edu.ng",,"2026-07-09T08:36:57.806Z"
"Z7FrqsZF_5","Federal University, Dutse","PUBLIC_UNIVERSITY","Nigeria","Jigawa","https://www.fud.edu.ng/",,"2026-07-09T08:36:57.811Z"
"bShEOQG327","Alex Ekwueme University","PUBLIC_UNIVERSITY","Nigeria","Ebonyi","https://www.funai.edu.ng",,"2026-07-09T08:36:57.816Z"
"jFxgi6lsqT","Federal University, Otuoke","PUBLIC_UNIVERSITY","Nigeria","Bayelsa","https://www.fuotuoke.edu.ng/",,"2026-07-09T08:36:57.821Z"
"ba3aVr8pFv","Federal University of Health Sciences, Ila Orangun","PUBLIC_UNIVERSITY","Nigeria","Osun","https://fuhsi.edu.ng/",,"2026-07-09T08:36:57.826Z"
"Wbu5vtiEFY","Federal University, Oye-Ekiti","PUBLIC_UNIVERSITY","Nigeria","Ekiti","https://www.fuoye.edu.ng/",,"2026-07-09T08:36:57.831Z"
"bpROVh6H1S","David Nweze Umahi Federal University of Medical Sciences, Uburu","PUBLIC_UNIVERSITY","Nigeria","Ebonyi","https://kdums.edu.ng/",,"2026-07-09T08:36:57.836Z"
"xWbYTNxmFX","Federal University, Wukari","PUBLIC_UNIVERSITY","Nigeria","Taraba","https://www.fuwukari.edu.ng/",,"2026-07-09T08:36:57.846Z"
"TPNGxJH2Fh","Admiralty University Ibusa      ","PUBLIC_UNIVERSITY","Nigeria","Delta","https://adun.edu.ng/",,"2026-07-09T08:36:57.870Z"
"shyTHvoHm5","Federal University, Birnin","PUBLIC_UNIVERSITY","Nigeria","Kebbi","https://www.fubk.edu.ng",,"2026-07-09T08:36:57.959Z"
"hneUQ2IvcY","Federal University of Transportation, Daura","PUBLIC_UNIVERSITY","Nigeria","Katsina","https://www.futd.edu.ng/",,"2026-07-09T08:36:58.005Z"
"9Qgn2lThF0","Federal University, Gusau","PUBLIC_UNIVERSITY","Nigeria","Zamfara","https://www.fugusau.edu.ng",,"2026-07-09T08:36:58.011Z"
"mhkihvehZ4","African Aviation and Aerospace University","PUBLIC_UNIVERSITY","Nigeria","Abuja","https://aaau.edu.ng/",,"2026-07-09T08:36:58.016Z"
"_lW589asYC","Michael Okpara University of Agricultural ","PUBLIC_UNIVERSITY","Nigeria","Abia","https://www.mouau.edu.ng",,"2026-07-09T08:36:58.022Z"
"VXHptqvfq6","National University of Science and Technology, Abuja","PUBLIC_UNIVERSITY","Nigeria","Abuja","https://nusta.edu.ng/",,"2026-07-09T08:36:58.028Z"
"duzr3jli9o","Modibbo Adama University of Technology, Yola","PUBLIC_UNIVERSITY","Nigeria","Adamawa","https://www.mautech.edu.ng",,"2026-07-09T08:36:58.033Z"
"vJ5xeZvuOU","National Open University of Nigeria","PUBLIC_UNIVERSITY","Nigeria","Abuja","https://www.nou.edu.ng",,"2026-07-09T08:36:58.039Z"
"bQSaUNA9jq","Federal University of Health Sciences, Kwale","PUBLIC_UNIVERSITY","Nigeria","Delta","https://fumhsk.edu.ng/",,"2026-07-09T08:36:58.044Z"
"Te5ZkSZTGh","Nnamdi Azikiwe University","PUBLIC_UNIVERSITY","Nigeria","Anambra","https://www.unizik.edu.ng",,"2026-07-09T08:36:58.050Z"
"Z1m3N93Q9r","Yusuf Maitama Sule Federal University of Education, Kano","PUBLIC_UNIVERSITY","Nigeria","Kano","https://fcekano.edu.ng/",,"2026-07-09T08:36:58.055Z"
"rB_Lpzx3mZ","Obafemi Awolowo University","PUBLIC_UNIVERSITY","Nigeria","Osun","https://www.oauife.edu.ng",,"2026-07-09T08:36:58.060Z"
"vkqfj01byu","Adeyemi Federal University of Education, Ondo","PUBLIC_UNIVERSITY","Nigeria","Ondo","https://www.afued.edu.ng/",,"2026-07-09T08:36:58.065Z"
"B0d3GVQEX8","University of Abuja        ","PUBLIC_UNIVERSITY","Nigeria","Abuja","https://www.uniabuja.edu.ng",,"2026-07-09T08:36:58.071Z"
"0Em411vUFD","Federal University of Allied Health Sciences, Enugu","PUBLIC_UNIVERSITY","Nigeria","Enugu","https://fuahse.edu.ng/",,"2026-07-09T08:36:58.076Z"
"mGS_xDrfjM","Federal University of Agriculture, Abeokuta","PUBLIC_UNIVERSITY","Nigeria","Ogun","https://www.unaab.edu.ng",,"2026-07-09T08:36:58.084Z"
"mTHUz9RNLd","Federal University of Medicine and Medical Sciences, Abeokuta","PUBLIC_UNIVERSITY","Nigeria","Ogun","https://fummsa.net/",,"2026-07-09T08:36:58.089Z"
